Dysithamnus puncticeps
Dysithamnus stictothorax
Dysithamnus striaticeps
Dysithamnus xanthopterus
Elaenia albiceps
Elaenia chiriquensis
Elaenia cristata
Elaenia dayi
Elaenia fallax
Elaenia flavogaster
Elaenia frantzii
Elaenia gigas
Elaenia martinica
Elaenia mesoleuca
Elaenia obscura
Elaenia pallatangae
Elaenia parvirostris
Elaenia pelzelni
Elaenia ridleyana
Elaenia ruficeps
Elaenia spectabilis
Elaenia strepera
Eleoscytalopus indigoticus
Eleoscytalopus psychopompus
Emberiza citrinella
Empidonax affinis
Empidonax albigularis
Empidonax alnorum
Empidonax atriceps
Empidonax difficilis
Empidonax flavescens
Empidonax flaviventris
Empidonax fulvifrons
Empidonax hammondii
Empidonax minimus
Empidonax oberholseri
Empidonax occidentalis
Empidonax traillii
Empidonax virescens
Empidonax wrightii
Empidonomus aurantioatrocristatus
Empidonomus varius
Epinecrophylla amazonica
Epinecrophylla dentei
Epinecrophylla erythrura
Epinecrophylla fjeldsaai
Epinecrophylla fulviventris
Epinecrophylla gutturalis
Epinecrophylla haematonota
Epinecrophylla leucophthalma
Epinecrophylla ornata
Epinecrophylla pyrrhonota
Epinecrophylla spodionota
Pitta arquata
Pitta erythrogaster
Erythropitta dohertyi
Pitta granatina
Pitta kochi
Pitta ussheri
Pitta venusta
Euchrepomis \humeralis\\\""
Euchrepomis callinotus
Euchrepomis sharpei
Euchrepomis spodioptila
Euchrepomis \spodioptila\\\""
Eugralla paradoxa
Eurylaimus javanicus
Eurylaimus ochromalus
Eurylaimus steerii
Euscarthmus meloryphus
Euscarthmus rufomarginatus
Fluvicola albiventer
Fluvicola nengeta
Fluvicola pica
Formicarius analis
Formicarius colma
Formicarius nigricapillus
Formicarius rufifrons
Formicarius rufipectus
Formicivora acutirostris
Formicivora erythronotos
Formicivora grantsaui
Formicivora grisea
Formicivora iheringi
Formicivora littoralis
Formicivora melanogaster
Formicivora rufa
Formicivora serrana
Frederickena fulva
Frederickena unduliger
Frederickena viridis
Furnarius cristatus
Furnarius figulus
Furnarius leucopus
Furnarius minor
Furnarius rufus
Furnarius torridus
Gallus gallus
Geocerthia serrana
Geositta antarctica
Geositta crassirostris
Geositta cunicularia
Geositta isabellina
Geositta maritima
Geositta peruviana
Geositta poeciloptera
Geositta punensis
Geositta rufipennis
Geositta saxicolina
Geositta tenuirostris
Glyphorynchus spirurus
Grallaria albigula
Grallaria alleni
Grallaria andicolus
Grallaria bangsi
Grallaria blakei
Grallaria capitalis
Grallaria carrikeri
Grallaria chthonia
Grallaria dignissima
Grallaria eludens
Grallaria erythroleuca
Grallaria erythrotis
Grallaria excelsa
Grallaria flavotincta
Grallaria gigantea
Grallaria griseonucha
Grallaria guatimalensis
Grallaria haplonota
Grallaria hypoleuca
Grallaria kaestneri
Grallaria milleri
Grallaria nuchalis
Grallaria przewalskii
Grallaria quitensis
Grallaria ridgelyi
Grallaria ruficapilla
Grallaria rufocinerea
Grallaria rufula
Grallaria squamigera
Grallaria urraoensis
Grallaria varia
Grallaria watkinsi
Grallaricula cucullata
Grallaricula cumanensis
Grallaricula ferrugineipectus
Grallaricula flavirostris
Grallaricula lineifrons
Grallaricula loricata
Grallaricula nana
Grallaricula ochraceifrons
Grallaricula peruviana
Gubernetes yetapa
Gymnocichla nudiceps
Gymnoderus foetidus
Gymnopithys bicolor
Gymnopithys leucaspis
Gymnopithys rufigula
Haematoderus militaris
Hafferia fortis
Hafferia immaculata
Hafferia zeledoni
Heliobletus contaminatus
Heliobletus aff. contaminatus
Hellmayrea gularis
Hemitriccus cinnamomeipectus
Hemitriccus cohnhafti
Hemitriccus diops
Hemitriccus flammulatus
Hemitriccus furcatus
Hemitriccus granadensis
Hemitriccus griseipectus
Hemitriccus inornatus
Hemitriccus iohannis
Hemitriccus josephinae
Hemitriccus kaempferi
Hemitriccus margaritaceiventer
Hemitriccus minimus
Hemitriccus minor
Hemitriccus mirandae
Hemitriccus nidipendulus
Hemitriccus obsoletus
Hemitriccus orbitatus
Hemitriccus rufigularis
Hemitriccus spodiops
Hemitriccus striaticollis
Hemitriccus zosterops
Herpsilochmus atricapillus
Herpsilochmus axillaris
Herpsilochmus dorsimaculatus
Herpsilochmus dugandi
Herpsilochmus gentryi
Herpsilochmus longirostris
Herpsilochmus motacilloides
Herpsilochmus parkeri
Herpsilochmus pectoralis
Herpsilochmus pileatus
Herpsilochmus praedictus
Herpsilochmus roraimae
Herpsilochmus rufimarginatus
Herpsilochmus sellowi
Herpsilochmus stictocephalus
Herpsilochmus sticturus
Herpsilochmus stotzi
Heterocercus aurantiivertex
Heterocercus flavivertex
Heterocercus linteatus
Hirundinea ferruginea
Pitta baudi
Pitta caerulea
Pitta cyanea
Pitta elliotii
Pitta guajana
Pitta gurneyi
Pitta nipalensis
Pitta oatesi
Pitta phayrei
Pitta schneideri
Pitta soror
Hylexetastes perrotii
Hylexetastes stresemanni
Hylopezus aff. nattereri
Hylopezus auricularis
Hylopezus berlepschi
Hylopezus dives
Hylopezus fulviventris
Hylopezus macularius
Hylopezus ochroleucus
Hylopezus perspicillatus
Hylophylax naevioides
Hylophylax naevius
Hylophylax punctulatus
Hymenops perspicillatus
Hypocnemis cantator
Hypocnemis flavescens
Hypocnemis hypoxantha
Hypocnemis ochrogyna
Hypocnemis peruviana
Hypocnemis rondoni
Hypocnemis striata
Hypocnemis subflava
Hypocnemoides maculicauda
Hypocnemoides melanopogon
Hypoedaleus guttatus
Ilicura militaris
Inezia caudata
Inezia inornata
Inezia subflava
Inezia tenuirostris
Iodopleura fusca
Iodopleura isabellae
Iodopleura pipra
Isleria guttata
Isleria hauxwelli
Knipolegus aterrimus
Knipolegus cabanisi
Knipolegus cyanirostris
Knipolegus franciscanus
Knipolegus hudsoni
Knipolegus lophotes
Knipolegus nigerrimus
Knipolegus orenocensis
Knipolegus poecilocercus
Knipolegus poecilurus
Knipolegus signatus
Knipolegus striaticeps
Laniisoma elegans
Laniocera hypopyrra
Laniocera rufescens
Lathrotriccus euleri
Lathrotriccus griseipectus
Legatus leucophaius
Lepidocolaptes affinis
Lepidocolaptes albolineatus
Lepidocolaptes angustirostris
Lepidocolaptes falcinellus
Lepidocolaptes lacrymiger
Lepidocolaptes leucogaster
Lepidocolaptes souleyetii
Lepidocolaptes squamatus
Lepidothrix coeruleocapilla
Lepidothrix coronata
Lepidothrix iris
Lepidothrix isidorei
Lepidothrix nattereri
Lepidothrix serena
Lepidothrix suavissima
Lepidothrix vilasboasi
Leptasthenura aegithaloides
Leptasthenura andicola
Leptasthenura fuliginiceps
Leptasthenura pileata
Leptasthenura platensis
Leptasthenura setaria
Leptasthenura striata
Leptasthenura striolata
Leptasthenura xenothorax
Leptasthenura yanacensis
Leptopogon amaurocephalus
Leptopogon rufipectus
Leptopogon superciliaris
Leptopogon taczanowskii
Lessonia oreas
Lessonia rufa
Limnoctites rectirostris
Limnornis curvirostris
Liosceles thoracicus
Lipaugus fuscocinereus
Lipaugus lanioides
Lipaugus streptophorus
Lipaugus unirufus
Lipaugus uropygialis
Lipaugus vociferans
Lipaugus weberi
Lochmias nematura
Lophotriccus eulophotes
Lophotriccus galeatus
Lophotriccus pileatus
Lophotriccus vitiosus
Machaeropterus deliciosus
Machaeropterus regulus
Machaeropterus pyrocephalus
Machetornis rixosa
Mackenziaena leachii
Mackenziaena severa
Manacus aurantiacus
Manacus candei
Manacus manacus
Manacus vitellinus
Margarornis bellulus
Margarornis rubiginosus
Margarornis squamiger
Margarornis stellatus
Masius chrysopterus
Synallaxis propinqua
Mecocerculus calopterus
Mecocerculus hellmayri
